8374	-	-	-	-
30699	-	-	-	-
29808	24489949	Complementation of essential yeast GPI mannosyltransferase mutations suggests a novel specificity for certain Trypanosoma and Plasmodium PigB proteins.	PLoS One	2014
29802	-	-	-	-
31960	-	-	-	-
34265	28742275	The proteome and transcriptome of the infectious metacyclic form of Trypanosoma brucei define quiescent cells primed for mammalian invasion.	Mol Microbiol	2017
34265	24438230	The emerging role of RNA-binding proteins in the life cycle of Trypanosoma brucei.	Cell Microbiol	2014
34265	23666624	The hnRNP F/H homologue of Trypanosoma brucei is differentially expressed in the two life cycle stages of the parasite and regulates splicing and mRNA stability.	Nucleic Acids Res	2013
34265	16339728	RNA-binding domain proteins in Kinetoplastids: a comparative analysis.	Eukaryot Cell	2005
34303	28657594	The Cytological Events and Molecular Control of Life Cycle Development of Trypanosoma brucei in the Mammalian Bloodstream.	Pathogens	2017
34303	29510668	Building protein-protein interaction networks for Leishmania species through protein structural information.	BMC Bioinformatics	2018
34303	26043892	GMP synthase is essential for viability and infectivity of Trypanosoma brucei despite a redundant purine salvage pathway.	Mol Microbiol	2015
34303	26730948	The Dynamics of Lateral Gene Transfer in Genus Leishmania - A Route for Adaptation and Species Diversification.	PLoS Negl Trop Dis	2016
34303	23404497	Adenylosuccinate synthetase and adenylosuccinate lyase deficiencies trigger growth and infectivity deficits in Leishmania donovani.	J Biol Chem	2013
21191	-	-	-	-
6202	-	-	-	-
44616	27685262	Specific Endocytosis Blockade of Trypanosoma cruzi Exposed to a Poly-LAcNAc Binding Lectin Suggests that Lectin-Sugar Interactions Participate to Receptor-Mediated Endocytosis.	PLoS One	2016
44616	30111733	Proteome-Wide Analysis of Trypanosoma cruzi Exponential and Stationary Growth Phases Reveals a Subcellular Compartment-Specific Regulation.	Genes (Basel)	2018
49331	-	-	-	-
19340	-	-	-	-
43519	-	-	-	-
46936	-	-	-	-
49653	-	-	-	-
14325	-	-	-	-
40733	-	-	-	-
31530	-	-	-	-
27885	-	-	-	-
4286	-	-	-	-
21988	-	-	-	-
43570	29062898	Essential Assembly Factor Rpf2 Forms Novel Interactions within the 5S RNP in Trypanosoma brucei.	mSphere	2017
43570	23382545	Iron uptake controls the generation of Leishmania infective forms through regulation of ROS levels.	J Exp Med	2013
40535	23151081	Unusual domain architecture of aminoacyl tRNA synthetases and their paralogs from Leishmania major.	BMC Genomics	2012
31435	28381627	Characterization of RBP9 and RBP10, two developmentally regulated RNA-binding proteins in Trypanosoma brucei.	Open Biol	2017
19611	18518959	The SIDER2 elements, interspersed repeated sequences that populate the Leishmania genomes, constitute subfamilies showing chromosomal proximity relationship.	BMC Genomics	2008
27404	26167482	Molecular Chaperones of Leishmania: Central Players in Many Stress-Related and -Unrelated Physiological Processes.	Biomed Res Int	2015
27404	30346990	Genome-wide identification of evolutionarily conserved Small Heat-Shock and eight other proteins bearing α-crystallin domain-like in kinetoplastid protists.	PLoS One	2018
29177	-	-	-	-
17039	-	-	-	-
